starId,movieId
s000003848,AJP7
s000007241,AJP7
s000007242,AJP7
s000007243,AJP7
s000002052,AJP15
s000007244,AJP15
s000003163,AJP15
s000005549,AJP15
s000001559,AJP15
s000006728,AJP15
s000007245,AJP15
s000005331,AJP25
s000006524,AJP25
s000001365,AJP25
s000001343,AJP25
s000007246,AJP25
s000002710,AJP25
s000002052,AJP29
s000004965,AJP29
s000007247,AJP29
s000000571,AJP29
s000006692,AJP29
s000007248,AJP29
s000007249,AJP29
s000007250,AJP29
s000007251,AJP29
s000000393,AJs1
s000000383,AJs1
s000003157,AJs1
s000006220,AJs1
s000007252,AJy10
s000006859,AJy10
s000006859,AJy10
s000006859,AJy10
s000006859,AJy10
s000006859,AJy10
s000006859,AJy10
s000006859,AJy10
s000002141,AK50
s000005107,AK50
s000007253,AK50
s000003531,AK57
s000004641,AK57
s000000351,AK57
s000000367,AK57
s000003468,AK57
s000007066,AK59
s000003602,AK90
s000007254,AK90
s000004429,AK90
s000000101,AK90
s000007255,AK90
s000006653,AK90
s000000156,AK90
s000007256,AKa5
s000007257,AKa5
s000007258,AKa5
s000007259,AKa15
s000007260,AKa15
s000007261,AKa15
s000007262,AKa15
s000007177,AKa20
s000007263,AKa20
s000007264,AKa20
s000006859,AKa20
s000007265,AKa20
s000007266,AKa20
s000007267,AKa20
s000003865,AKe1
s000000524,AKe1
s000001296,AKe1
s000000422,AKe1
s000004903,AKe5
s000007268,AKe5
s000003254,AKe5
s000007269,AKe5
s000007270,AKe5
s000007271,AKe5
s000007272,AKj10
s000007273,AKj10
s000007274,AKj10
s000003996,AKj11
s000001609,AKj11
s000004532,AKj11
s000006550,AKj12
s000001229,AKj12
s000007275,AKj13
s000005173,AKj13
s000004410,AKj13
s000004818,AKj14
s000006974,AKj14
s000004552,AKj15
s000006746,AKj15
s000002997,AKj16
s000005793,AKj16
s000001751,AKj16
s000005834,AKj16
s000001918,AKj17
s000001576,AKj17
s000006621,AKj17
s000007276,AKj18
s000006859,AKj18
s000007277,AKj19
s000001618,AKj19
s000001172,AKj19
s000003604,AKj20
s000006859,AKj20
s000005206,AKj20
s000000912,AKj21
s000007278,AKj21
s000007279,AKj21
s000007280,AkK2
s000004222,AkK7
s000005720,AkK7
s000007281,AkK9
s000004222,AkK11
s000007282,AkK11
s000007283,AkK11
s000005720,AkK11
s000007284,AkK11
s000007285,AkK12
s000007286,AkK12
s000003427,AkK12
s000004222,AkK14
s000005720,AkK14
s000007287,AkK14
s000007288,AkK14
s000007284,AkK14
s000005720,AkK15
s000004222,AkK20
s000004222,AkK22
s000007289,AkK22
s000006859,AkK22
s000006859,AkK22
s000004222,AkK23
s000006859,AkK26
s000006859,AkK26
s000007290,AkK27
s000007290,AkK27
s000007291,AkK28
s000007292,AkK28
s000007293,AkK28
s000007294,AkK28
s000007295,AkK28
s000007296,AkK28
s000007297,AkK28
s000007298,AkK29
s000007291,AkK29
s000005593,AkK29
s000007299,AkK29
s000002258,AkK30
s000007300,AkK30
s000006859,AkK31
s000007301,AKl10
s000006432,AKo10
s000005329,AKo10
s000007302,AKo10
s000007303,AKo10
s000007304,AKo10
